i,j,pc_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
2,0,0
2,1,0
2,2,0
2,3,300
2,4,0
2,5,0
3,0,0
3,1,0
3,2,0
3,3,40
3,4,0
3,5,0
4,0,34
4,1,0
4,2,0
4,3,41
4,4,41
4,5,41
5,0,35
5,1,0
5,2,0
5,3,42
5,4,42
5,5,42
6,0,35
6,1,0
6,2,0
6,3,43
6,4,43
6,5,43
7,0,36
7,1,0
7,2,35
7,3,44
7,4,44
7,5,44
8,0,36
8,1,0
8,2,36
8,3,45
8,4,45
8,5,45
9,0,37
9,1,0
9,2,36
9,3,45
9,4,45
9,5,45
10,0,37
10,1,36
10,2,36
10,3,45
10,4,45
10,5,45
11,0,37
11,1,36
11,2,36
11,3,46
11,4,46
11,5,46
