i,k,ap_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,739800
2,3,0
2,4,0
3,0,0
3,1,540
3,2,709800
3,3,0
3,4,0
4,0,0
4,1,480
4,2,649800
4,3,0
4,4,0
5,0,3220
5,1,420
5,2,639600
5,3,0
5,4,0
6,0,1610
6,1,420
6,2,639600
6,3,0
6,4,0
7,0,1610
7,1,420
7,2,639600
7,3,0
7,4,0
8,0,1610
8,1,420
8,2,639600
8,3,0
8,4,0
9,0,1610
9,1,420
9,2,654600
9,3,0
9,4,0
10,0,1610
10,1,420
10,2,690000
10,3,0
10,4,0
11,0,1610
11,1,240
11,2,754800
11,3,0
11,4,0
