i,k,ra_value
0,0,242
0,1,168
0,2,23
0,3,360
0,4,168
1,0,363
1,1,168
1,2,23
1,3,540
1,4,252
2,0,0
2,1,168
2,2,23
2,3,0
2,4,336
3,0,500
3,1,120
3,2,23
3,3,888
3,4,420
4,0,725
4,1,120
4,2,23
4,3,1067
4,4,420
5,0,725
5,1,180
5,2,23
5,3,1067
5,4,420
6,0,608
6,1,168
6,2,23
6,3,1066
6,4,420
7,0,484
7,1,120
7,2,23
7,3,886
7,4,420
8,0,483
8,1,108
8,2,23
8,3,705
8,4,336
9,0,363
9,1,96
9,2,23
9,3,525
9,4,252
10,0,242
10,1,48
10,2,23
10,3,345
10,4,168
11,0,0
11,1,24
11,2,23
11,3,0
11,4,84
