i,k,vp_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
3,0,0
3,1,500
3,2,0
3,3,0
3,4,0
4,0,0
4,1,500
4,2,0
4,3,0
4,4,0
5,0,500
5,1,480
5,2,0
5,3,0
5,4,0
6,0,500
6,1,420
6,2,0
6,3,0
6,4,0
7,0,500
7,1,360
7,2,0
7,3,0
7,4,0
8,0,500
8,1,360
8,2,0
8,3,0
8,4,0
9,0,500
9,1,180
9,2,0
9,3,0
9,4,0
10,0,500
10,1,420
10,2,0
10,3,0
10,4,0
11,0,500
11,1,180
11,2,0
11,3,0
11,4,0
