i,k,ra_value
0,0,97
0,1,168
0,2,23
0,3,360
0,4,56
1,0,145
1,1,216
1,2,23
1,3,540
1,4,84
2,0,194
2,1,216
2,2,23
2,3,398
2,4,112
3,0,242
3,1,168
3,2,23
3,3,888
3,4,140
4,0,290
4,1,120
4,2,23
4,3,1080
4,4,140
5,0,290
5,1,120
5,2,23
5,3,1080
5,4,140
6,0,290
6,1,120
6,2,23
6,3,1080
6,4,140
7,0,242
7,1,120
7,2,23
7,3,900
7,4,140
8,0,194
8,1,108
8,2,23
8,3,720
8,4,112
9,0,145
9,1,96
9,2,23
9,3,540
9,4,84
10,0,97
10,1,48
10,2,23
10,3,345
10,4,56
11,0,49
11,1,24
11,2,23
11,3,0
11,4,28
