i,k,ra_value
0,0,242
0,1,168
0,2,23
0,3,360
0,4,168
1,0,363
1,1,216
1,2,23
1,3,540
1,4,252
2,0,483
2,1,264
2,2,23
2,3,0
2,4,336
3,0,0
3,1,0
3,2,0
3,3,888
3,4,420
4,0,125
4,1,264
4,2,9
4,3,1067
4,4,420
5,0,364
5,1,264
5,2,8
5,3,1067
5,4,420
6,0,663
6,1,264
6,2,7
6,3,716
6,4,420
7,0,496
7,1,240
7,2,7
7,3,871
7,4,420
8,0,192
8,1,192
8,2,7
8,3,689
8,4,336
9,0,0
9,1,123
9,2,6
9,3,9
9,4,252
10,0,0
10,1,0
10,2,6
10,3,0
10,4,168
11,0,0
11,1,9
11,2,0
11,3,0
11,4,84
